County,Precinct,Kelly Mazeski,Amanda Howland,Sean Casten,Jennifer Zordani,Becky Anderson Wilkins,Ryan Huffman,Carole Cheney,Peter J. Roskam,Dem Turnout,Dem Percent
lake,Ela 95,43,45,40,11,5,5,25,125,15.35745807590468,58.19397993311036
lake,Ela 94,60,43,25,9,5,6,29,121,17.002881844380404,59.395973154362416
lake,Ela 97,52,40,33,8,4,5,24,112,17.219917012448132,59.71223021582733
lake,Ela 96,55,26,35,7,4,4,22,156,13.947128532360983,49.51456310679612
lake,Ela 91,36,26,29,2,1,4,17,97,13.188073394495412,54.24528301886793
lake,Ela 90,41,50,42,4,7,5,22,133,17.5564681724846,56.25
lake,Ela 93,43,31,41,5,5,9,24,105,17.439293598233995,60.07604562737643
lake,Ela 92,45,32,21,6,4,1,19,110,11.72161172161172,53.78151260504202
lake,Ela 99,57,37,28,3,2,5,24,203,10.4,43.45403899721448
lake,Ela 98,63,31,23,6,4,3,28,139,17.853107344632768,53.198653198653204
lake,Cuba 73,43,14,24,4,2,1,31,119,11.018518518518519,50.0
lake,Cuba 72,38,23,15,1,0,0,17,97,11.72069825436409,49.21465968586388
lake,Cuba 71,23,14,22,0,2,5,23,111,9.044715447154472,44.5
lake,Cuba 70,26,13,20,1,0,4,12,87,9.559748427672957,46.62576687116564
lake,Cuba 77,55,17,26,1,1,5,25,166,10.441767068273093,43.91891891891892
lake,Cuba 76,59,19,33,1,8,10,35,92,15.566037735849056,64.2023346303502
lake,Cuba 75,44,12,14,2,1,3,15,111,10.9375,45.04950495049505
lake,Cuba 74,37,16,26,3,2,3,24,134,10.258780036968576,45.30612244897959
dupage,Winfield 8,11,7,19,1,6,6,13,69,10.899653979238755,47.72727272727273
dupage,Downers Grove 87,50,14,41,9,9,5,23,191,15.71279916753382,44.15204678362573
dupage,Downers Grove 85,19,8,33,7,4,0,11,70,12.386706948640484,53.94736842105263
dupage,Downers Grove 84,22,4,63,11,3,4,13,74,15.18987341772152,61.855670103092784
dupage,Downers Grove 83,5,2,3,0,1,1,5,34,1.829924650161464,33.33333333333333
dupage,Naperville 5,12,6,21,2,57,4,23,66,14.400921658986174,65.44502617801047
dupage,Naperville 7,23,12,19,3,46,3,19,64,15.782828282828282,66.13756613756614
dupage,York 100,37,13,31,7,7,8,16,76,16.01615074024226,61.02564102564103
dupage,York 101,28,11,29,3,2,3,13,67,15.478260869565217,57.05128205128205
dupage,Downers Grove 16,8,2,54,1,1,1,1,63,11.03896103896104,51.908396946564885
dupage,Downers Grove 17,15,4,141,0,7,2,16,92,24.601063829787233,66.78700361010831
dupage,Downers Grove 10,29,11,70,10,17,3,12,75,16.9453734671126,66.96035242290749
dupage,York 105,6,3,5,3,0,1,6,46,5.393258426966292,34.285714285714285
dupage,York 106,13,3,8,5,0,1,4,90,6.148282097649186,27.419354838709676
dupage,York 109,13,3,49,2,2,0,14,77,14.795008912655971,51.87500000000001
dupage,Downers Grove 18,24,10,77,6,27,3,18,70,18.29268292682927,70.2127659574468
dupage,Downers Grove 19,18,5,19,5,3,2,8,50,9.404388714733543,54.54545454545454
dupage,York 42,21,14,24,2,4,3,14,56,14.113597246127366,59.42028985507246
dupage,York 43,27,9,23,4,2,2,14,35,16.33064516129032,69.82758620689656
dupage,York 46,28,14,18,5,7,2,12,89,11.286089238845145,49.142857142857146
dupage,Milton 55,22,12,35,5,4,3,23,102,13.081761006289309,50.48543689320388
dupage,Milton 54,21,9,46,2,5,2,39,122,16.599732262382865,50.40650406504065
dupage,Milton 57,11,16,26,6,5,2,22,100,14.715719063545151,46.808510638297875
dupage,Milton 56,16,26,57,2,4,5,24,67,16.60470879801735,66.66666666666666
dupage,Milton 51,2,3,4,2,0,0,1,35,1.5665796344647518,25.53191489361702
dupage,Milton 50,17,20,51,1,9,6,21,88,17.78093883357041,58.68544600938967
dupage,Lisle 56,28,15,36,3,7,3,12,59,18.63799283154122,63.80368098159509
dupage,Milton 52,23,8,59,6,8,4,25,106,18.945868945868945,55.64853556485355
dupage,Lisle 59,27,19,42,3,18,1,28,88,15.916955017301039,61.06194690265486
dupage,Milton 59,24,7,49,4,6,3,22,95,15.498652291105122,54.761904761904766
dupage,Milton 58,21,13,79,6,6,3,29,73,19.38271604938272,68.26086956521739
dupage,Lisle 40,28,6,85,3,10,3,15,80,21.398002853067048,65.21739130434783
dupage,Downers Grove 127,23,13,29,12,6,3,20,59,15.939849624060152,64.24242424242425
dupage,Naperville 31,27,10,24,6,29,1,23,71,14.796547472256474,62.82722513089005
dupage,Lisle 44,14,8,25,1,9,4,31,77,14.743589743589745,54.437869822485204
dupage,Lisle 25,16,1,18,4,15,2,26,70,13.333333333333334,53.94736842105263
dupage,Milton 130,13,3,19,1,2,0,11,131,10.53763440860215,27.22222222222222
dupage,Downers Grove 118,36,10,23,3,6,2,10,46,10.06711409395973,66.17647058823529
dupage,Lisle 22,17,5,74,1,18,1,16,86,17.813765182186234,60.550458715596335
dupage,Downers Grove 115,34,15,18,8,2,1,10,91,12.038303693570452,49.162011173184354
dupage,Downers Grove 112,30,15,41,8,1,3,12,79,13.732833957553058,58.201058201058196
dupage,Downers Grove 113,13,5,13,4,1,3,5,16,7.333333333333333,73.33333333333333
dupage,Wayne 50,32,12,12,5,3,1,12,79,13.095238095238097,49.358974358974365
dupage,Wayne 53,25,8,14,6,4,2,16,57,9.079903147699758,56.81818181818182
dupage,Wayne 52,14,12,21,4,4,3,11,69,11.89655172413793,50.0
dupage,Wayne 55,29,13,19,1,5,1,22,105,13.636363636363635,46.15384615384615
dupage,Wayne 54,26,16,12,2,6,7,14,51,10.573248407643312,61.940298507462686
dupage,Wayne 57,22,9,25,7,5,5,6,81,11.205673758865247,49.375
dupage,Wayne 56,14,5,6,0,1,2,10,90,6.408094435075886,29.6875
dupage,Wayne 59,25,9,22,6,2,1,16,66,12.310030395136778,55.10204081632652
dupage,Wayne 58,16,5,15,4,2,0,7,55,9.607843137254903,47.11538461538461
dupage,Downers Grove 146,22,25,47,2,10,5,12,75,14.963503649635038,62.121212121212125
dupage,Downers Grove 149,40,6,62,5,6,4,15,107,18.75,56.326530612244895
dupage,Milton 71,22,8,32,2,8,1,31,117,18.6046511627907,47.05882352941176
dupage,Milton 119,6,7,8,0,0,0,3,20,6.64819944598338,54.54545454545454
dupage,Milton 111,33,10,28,2,3,3,19,75,15.831987075928918,56.64739884393064
dupage,Milton 110,25,12,33,6,8,4,12,75,14.025245441795231,57.14285714285714
dupage,Milton 113,10,6,54,1,4,1,29,52,21.920668058455114,66.87898089171973
dupage,Milton 112,17,7,16,1,4,2,13,90,11.516314779270633,40.0
dupage,Milton 115,14,9,25,2,4,2,24,83,14.035087719298245,49.079754601226995
dupage,Milton 114,10,10,18,3,7,2,19,60,11.129032258064516,53.48837209302325
dupage,Milton 116,24,8,28,9,2,4,30,119,15.765765765765765,46.875
dupage,Bloomingdale 9,23,17,23,5,6,5,9,72,10.986267166042447,55.00000000000001
dupage,Bloomingdale 43,26,12,18,4,6,3,13,70,10.991957104557642,53.94736842105263
dupage,Bloomingdale 45,14,8,15,6,2,2,20,218,10.894308943089431,23.50877192982456
dupage,Downers Grove 142,23,8,10,6,7,1,7,28,11.272727272727273,68.88888888888889
dupage,Naperville 10,5,13,28,5,42,1,32,90,15.69115815691158,58.333333333333336
dupage,Milton 86,16,18,22,6,2,2,15,43,11.20331950207469,65.32258064516128
dupage,York 30,22,5,21,0,6,3,9,116,9.053497942386832,36.26373626373626
dupage,Naperville 15,34,13,22,3,15,2,23,51,14.285714285714285,68.71165644171779
dupage,York 36,34,15,57,4,6,0,10,106,17.5,54.310344827586206
dupage,Winfield 4,33,6,21,2,8,1,21,108,14.263565891472869,46.0
dupage,Winfield 5,18,16,23,6,5,5,8,81,11.894273127753303,50.0
dupage,Winfield 6,11,6,21,3,7,1,8,72,12.311015118790497,44.18604651162791
dupage,Downers Grove 48,18,3,30,3,11,1,19,56,14.86013986013986,60.28368794326241
dupage,Winfield 1,39,13,22,2,8,7,10,80,11.28491620111732,55.80110497237569
dupage,Winfield 2,20,11,34,4,5,7,16,112,12.278481012658228,46.411483253588514
dupage,Downers Grove 47,10,7,36,3,6,2,8,40,16.10738255033557,64.28571428571429
dupage,Winfield 9,29,14,13,8,2,4,11,29,9.070548712206048,73.63636363636363
dupage,Downers Grove 45,25,10,52,4,7,3,7,104,20.037105751391465,50.943396226415096
dupage,Downers Grove 44,21,5,26,5,5,2,11,101,10.822510822510822,42.61363636363637
dupage,Naperville 19,15,6,31,5,30,3,31,56,18.00595238095238,68.36158192090396
dupage,Downers Grove 82,31,8,55,7,3,1,20,101,13.130252100840337,55.309734513274336
dupage,Lisle 83,15,13,12,1,15,2,12,41,12.131715771230503,63.06306306306306
dupage,Lisle 81,14,5,19,2,14,4,25,103,12.24188790560472,44.623655913978496
dupage,Lisle 80,16,10,18,4,5,3,11,61,10.534591194968554,52.34375
dupage,Lisle 89,29,14,33,7,11,5,18,50,14.754098360655737,70.05988023952095
dupage,Lisle 88,6,8,66,2,7,3,13,37,19.230769230769234,73.94366197183099
dupage,Winfield 17,22,9,24,4,5,4,18,95,12.518195050946144,47.51381215469613
dupage,Winfield 14,36,16,39,8,14,5,19,120,15.621436716077536,53.30739299610895
dupage,Winfield 15,14,8,17,2,2,1,9,42,12.864077669902912,55.78947368421052
dupage,Winfield 12,25,16,40,4,7,2,19,121,13.170163170163171,48.29059829059829
dupage,Winfield 13,8,10,11,5,3,2,3,35,6.6141732283464565,54.54545454545454
dupage,Winfield 18,26,13,25,2,7,1,20,111,15.878378378378377,45.85365853658537
dupage,Winfield 19,19,13,32,3,7,1,13,124,12.88433382137628,41.509433962264154
dupage,Milton 91,20,12,22,3,4,3,28,131,13.98176291793313,41.25560538116592
dupage,Milton 90,27,13,42,4,1,4,13,129,14.3646408839779,44.63519313304721
dupage,Milton 93,25,6,23,5,6,3,37,58,14.83050847457627,64.41717791411043
dupage,Milton 92,20,7,36,2,4,2,41,105,15.426997245179063,51.61290322580645
dupage,Milton 95,27,11,31,7,6,3,26,177,12.278761061946902,38.54166666666667
dupage,Milton 94,23,9,29,5,8,2,19,80,14.200298953662182,54.285714285714285
dupage,Milton 97,37,11,34,2,8,5,30,83,20.25518341307815,60.476190476190474
dupage,Milton 96,24,10,77,5,4,4,27,75,20.741758241758244,66.8141592920354
dupage,Lisle 14,11,3,16,1,12,1,10,66,11.513859275053305,45.0
dupage,Milton 98,25,8,16,3,7,4,9,80,10.271041369472183,47.368421052631575
dupage,Lisle 16,20,10,26,5,7,2,16,61,13.333333333333334,58.50340136054422
dupage,Lisle 11,15,11,31,1,25,0,36,81,18.16793893129771,59.5
dupage,Wayne 68,34,14,21,3,1,1,8,53,15.129151291512915,60.74074074074074
dupage,Wayne 60,12,5,13,2,1,1,9,44,7.131011608623548,49.42528735632184
dupage,Wayne 67,21,10,16,4,8,1,6,57,8.859060402684564,53.65853658536586
dupage,Wayne 1,29,14,13,6,4,0,9,156,9.079903147699758,32.467532467532465
dupage,Wayne 3,11,6,5,2,0,1,7,66,6.911447084233262,32.6530612244898
dupage,Wayne 2,26,10,24,4,5,5,4,105,9.523809523809524,42.62295081967213
dupage,Wayne 5,24,6,15,10,5,4,13,74,10.799438990182328,50.993377483443716
dupage,Wayne 4,18,13,17,7,4,2,17,66,9.59409594095941,54.166666666666664
dupage,Wayne 7,20,6,20,4,2,5,10,106,10.307692307692308,38.72832369942196
dupage,Wayne 6,26,17,25,7,6,4,12,79,14.854517611026033,55.11363636363637
dupage,Wayne 9,14,6,25,5,3,2,19,109,9.866666666666667,40.43715846994536
dupage,Wayne 8,12,5,13,2,3,1,5,63,6.710310965630114,39.42307692307692
dupage,Wayne 19,29,11,15,5,3,3,12,37,10.92436974789916,67.82608695652173
dupage,Wayne 15,21,14,19,4,4,5,9,51,9.476309226932669,59.84251968503938
dupage,Wayne 17,21,15,46,4,3,3,12,74,15.028901734104046,58.42696629213483
dupage,Wayne 11,31,14,5,4,1,3,6,92,14.545454545454545,41.02564102564102
dupage,Wayne 10,17,5,7,4,2,0,6,101,6.436420722135009,28.87323943661972
dupage,Wayne 13,49,12,12,7,5,5,6,69,10.835214446952596,58.18181818181818
dupage,Wayne 12,22,12,18,3,1,1,16,63,11.986863711001643,53.67647058823529
dupage,Downers Grove 14,29,16,38,5,12,2,19,91,13.02475780409042,57.07547169811321
dupage,Downers Grove 15,19,16,32,11,5,4,21,68,16.74418604651163,61.36363636363637
dupage,Downers Grove 11,31,10,60,11,3,2,18,80,15.481651376146788,62.7906976744186
dupage,Downers Grove 12,24,8,60,4,11,3,15,88,19.025875190258752,58.68544600938967
dupage,Bloomingdale 77,22,12,31,1,3,3,14,62,13.564668769716087,58.108108108108105
dupage,Downers Grove 50,21,14,94,5,18,3,31,103,21.257142857142856,64.3598615916955
dupage,York 130,21,5,31,1,6,5,11,72,13.266998341625207,52.63157894736842
dupage,York 111,45,22,27,6,10,5,9,65,12.97071129707113,65.60846560846561
dupage,York 114,30,12,78,6,10,5,21,90,19.75609756097561,64.28571428571429
dupage,York 119,14,5,14,3,0,3,4,34,6.475903614457831,55.84415584415584
dupage,York 118,26,13,22,7,6,1,8,45,14.90125673249551,64.84375
dupage,York 75,33,15,37,5,10,3,25,87,16.10062893081761,59.53488372093023
dupage,York 74,49,23,42,4,10,2,25,77,17.96060254924681,66.8103448275862
dupage,York 77,30,15,29,7,0,2,17,100,14.367816091954023,50.0
dupage,Milton 46,30,15,24,0,2,5,21,73,19.05697445972495,57.05882352941176
dupage,Milton 47,33,18,43,6,4,3,17,63,17.415730337078653,66.31016042780749
dupage,Milton 44,21,5,34,1,8,3,21,60,16.970802919708028,60.78431372549019
dupage,Milton 45,19,5,95,1,7,1,24,86,20.79343365253078,63.86554621848739
dupage,Milton 42,27,9,20,4,7,3,18,80,13.333333333333334,52.38095238095239
dupage,Milton 43,16,19,55,6,3,1,50,91,18.963337547408344,62.24066390041494
dupage,Milton 40,24,12,36,2,10,1,28,93,13.185530921820304,54.85436893203883
dupage,Milton 41,13,16,44,2,4,4,24,69,15.134370579915135,60.79545454545454
dupage,Downers Grove 129,19,17,54,5,8,2,16,74,15.592783505154639,62.05128205128205
dupage,Milton 48,23,26,17,6,6,3,15,80,15.18987341772152,54.54545454545454
dupage,Milton 49,30,5,30,4,6,3,14,78,13.834586466165414,54.11764705882353
dupage,York 97,30,17,22,11,6,3,17,82,15.164520743919885,56.38297872340425
dupage,York 95,21,10,20,2,3,4,27,52,17.864476386036962,62.589928057553955
dupage,York 93,17,3,17,5,2,1,11,31,11.691022964509393,64.36781609195403
dupage,York 92,16,5,45,3,2,2,8,43,17.608695652173914,65.32258064516128
dupage,Lisle 104,9,3,16,1,24,1,22,82,11.394302848575713,48.10126582278481
dupage,Lisle 107,12,3,28,3,13,2,11,70,11.842105263157894,50.70422535211267
dupage,Lisle 106,13,6,16,1,9,2,11,43,13.679245283018867,57.42574257425742
dupage,Lisle 101,16,10,30,4,8,0,15,43,11.022576361221779,65.87301587301587
dupage,Lisle 100,9,7,36,1,17,2,34,48,18.49912739965096,68.83116883116884
dupage,Wayne 25,41,10,15,6,1,1,14,78,14.449917898193759,53.01204819277109
dupage,Wayne 26,14,10,11,4,2,5,11,64,9.777015437392796,47.107438016528924
