County,Precinct,Kelly Mazeski,Amanda Howland,Sean Casten,Jennifer Zordani,Becky Anderson Wilkins,Ryan Huffman,Carole Cheney,Peter J. Roskam
dupage,Downers Grove 107,18,11,32,2,10,6,23,113
dupage,Bloomingdale 58,28,10,35,5,5,11,15,83
dupage,Downers Grove 59,54,26,82,9,5,6,52,9
dupage,York 131,10,2,6,0,2,1,5,14
dupage,Downers Grove 51,15,12,108,6,11,4,22,67
dupage,Downers Grove 52,24,11,55,2,9,1,20,112
dupage,Downers Grove 53,24,8,66,1,18,4,26,104
dupage,Downers Grove 54,27,8,45,2,5,1,13,79
dupage,Downers Grove 55,7,6,50,5,2,0,11,66
dupage,Downers Grove 56,19,12,26,3,6,2,11,63
dupage,Downers Grove 57,34,12,33,3,5,8,14,75
dupage,Downers Grove 29,43,13,44,5,6,6,24,115
dupage,Downers Grove 28,18,2,46,3,4,1,7,93
dupage,Downers Grove 27,19,10,26,3,6,0,8,69
dupage,Downers Grove 26,40,23,95,4,11,2,11,118
dupage,Downers Grove 21,36,5,58,14,5,2,20,88
dupage,Downers Grove 20,32,15,70,2,13,0,11,75
dupage,Lisle 126,9,3,9,2,10,0,18,65
dupage,Milton 19,32,10,36,0,5,6,23,103
dupage,Milton 18,27,13,23,3,4,8,26,130
dupage,Milton 11,14,10,44,4,12,1,19,72
dupage,Milton 10,24,8,62,5,7,2,25,70
dupage,Milton 13,16,12,37,0,3,1,33,77
dupage,Milton 12,21,10,51,2,4,2,24,47
dupage,Milton 15,21,8,44,2,6,1,28,87
dupage,Milton 14,16,4,42,3,1,0,13,93
dupage,Milton 17,22,10,24,4,4,0,11,66
dupage,Milton 16,28,9,49,3,6,3,27,78
dupage,Lisle 95,11,2,8,1,17,2,21,96
dupage,Lisle 91,36,11,26,8,29,2,19,89
dupage,Lisle 92,13,5,18,6,15,1,8,25
dupage,Lisle 68,9,5,15,1,18,0,16,45
dupage,Downers Grove 151,17,3,27,3,1,0,12,68
dupage,Milton 68,26,8,44,3,8,3,30,80
dupage,Milton 69,26,5,62,6,7,8,32,79
dupage,Downers Grove 154,25,8,12,4,3,1,6,64
dupage,Lisle 61,12,5,20,2,13,2,7,41
dupage,Milton 65,21,11,24,0,3,3,24,128
dupage,Milton 66,27,15,70,0,5,1,29,93
dupage,Milton 67,24,8,39,1,3,3,16,74
dupage,Milton 60,14,16,29,1,4,4,12,49
dupage,Milton 61,13,3,15,3,2,0,9,94
dupage,Milton 62,22,28,28,0,7,4,26,71
dupage,Milton 63,15,10,33,3,7,3,7,94
dupage,Downers Grove 49,22,8,85,3,13,1,15,87
dupage,Winfield 7,18,4,30,2,6,1,32,126
mchenry,Algonquin 46,50,27,28,8,4,4,25,105
mchenry,Algonquin 47,60,22,39,3,4,13,25,109
mchenry,Algonquin 44,38,11,20,3,0,4,8,60
mchenry,Algonquin 45,35,16,31,3,1,3,18,110
mchenry,Algonquin 42,53,11,50,6,6,6,13,117
mchenry,Algonquin 43,45,20,29,8,4,3,8,102
mchenry,Algonquin 40,38,17,27,2,2,1,12,53
mchenry,Algonquin 41,56,23,44,0,8,9,14,111
mchenry,Algonquin 60,36,5,13,4,1,5,2,35
mchenry,Algonquin 61,15,15,16,3,1,1,7,62
mchenry,Algonquin 62,40,12,45,1,3,5,15,107
mchenry,Algonquin 63,57,9,56,2,6,6,19,119
mchenry,Algonquin 64,29,9,16,2,3,1,8,50
mchenry,Algonquin 65,52,14,21,2,1,4,18,135
mchenry,Algonquin 48,64,14,43,4,4,8,16,117
mchenry,Algonquin 49,24,6,22,4,2,3,5,80
mchenry,Algonquin 24,28,27,20,7,2,1,7,70
mchenry,Algonquin 25,31,14,23,3,3,5,8,64
mchenry,Algonquin 26,22,19,19,1,2,3,10,46
mchenry,Algonquin 27,22,30,20,4,2,3,9,57
mchenry,Algonquin 20,18,4,24,5,4,2,5,38
mchenry,Algonquin 21,41,10,28,5,5,4,6,70
mchenry,Algonquin 22,28,13,16,3,3,1,2,46
mchenry,Algonquin 23,60,19,37,5,2,6,13,124
mchenry,Algonquin 55,43,21,36,5,6,3,19,103
mchenry,Algonquin 28,33,21,34,6,2,5,11,93
mchenry,Algonquin 29,19,14,12,7,3,5,6,53
mchenry,Algonquin 54,30,9,21,1,3,12,12,108
mchenry,Algonquin 68,38,12,35,5,3,8,11,125
mchenry,Algonquin 1,29,11,23,2,1,4,10,49
mchenry,Algonquin 59,54,13,32,6,3,7,9,69
mchenry,Algonquin 3,29,7,27,6,1,5,9,67
mchenry,Algonquin 2,32,26,53,4,10,8,15,75
mchenry,Algonquin 5,31,30,43,4,1,9,16,115
mchenry,Algonquin 4,46,30,34,3,1,9,34,77
mchenry,Algonquin 7,29,5,18,0,1,0,3,67
mchenry,Algonquin 6,28,16,35,2,5,5,7,77
mchenry,Algonquin 9,31,24,22,3,5,6,15,85
mchenry,Algonquin 8,35,15,24,4,3,3,21,71
mchenry,Algonquin 51,37,30,47,3,7,10,21,153
mchenry,Algonquin 50,34,17,23,4,1,6,13,91
mchenry,Algonquin 53,41,8,14,6,2,1,7,42
mchenry,Algonquin 52,40,20,28,4,4,7,10,57
mchenry,Algonquin 19,47,12,25,3,2,0,6,71
mchenry,Algonquin 18,30,7,7,4,2,6,5,71
mchenry,Algonquin 57,54,18,31,10,7,5,15,91
mchenry,Algonquin 56,37,4,11,5,1,5,4,52
mchenry,Algonquin 15,25,14,26,6,2,1,2,64
mchenry,Algonquin 14,37,8,30,3,5,2,9,101
mchenry,Algonquin 17,45,13,35,3,4,7,21,156
mchenry,Algonquin 16,59,7,21,0,0,2,12,126
mchenry,Algonquin 11,33,20,20,8,2,6,13,88
mchenry,Algonquin 10,45,21,44,3,4,3,16,78
mchenry,Algonquin 13,27,16,29,5,3,3,9,70
mchenry,Algonquin 12,45,22,35,4,4,2,13,90
mchenry,Algonquin 37,16,7,10,1,0,0,0,15
mchenry,Algonquin 36,36,16,28,6,4,2,9,124
mchenry,Algonquin 35,18,22,20,4,4,6,17,94
mchenry,Algonquin 34,30,20,34,5,3,5,7,62
mchenry,Algonquin 33,38,11,36,6,3,2,7,100
mchenry,Algonquin 32,42,7,26,1,2,4,8,78
mchenry,Algonquin 31,52,16,16,3,6,7,10,93
mchenry,Algonquin 30,33,18,27,5,3,5,16,124
mchenry,Algonquin 67,32,19,33,2,0,3,9,91
mchenry,Algonquin 39,30,16,23,7,3,6,7,66
mchenry,Algonquin 38,37,17,34,5,2,2,13,86
mchenry,Algonquin 58,45,11,27,5,2,0,10,88
mchenry,Algonquin 66,29,14,40,4,1,7,6,60
