County,Precinct,Kelly Mazeski,Amanda Howland,Sean Casten,Jennifer Zordani,Becky Anderson Wilkins,Ryan Huffman,Carole Cheney,Peter J. Roskam
lake,Ela 84,23,45,18,5,0,5,23,117
lake,Ela 85,40,25,29,3,2,4,16,79
lake,Ela 82,46,24,30,5,3,4,15,112
lake,Ela 83,45,60,44,7,4,3,26,118
lake,Ela 80,41,38,25,1,0,7,24,95
lake,Ela 81,33,25,25,10,1,6,22,97
lake,Ela 104,43,18,34,2,1,5,25,118
lake,Ela 88,19,21,10,4,5,1,6,130
lake,Ela 89,33,23,31,6,8,9,24,129
lake,Ela 105,59,28,32,5,4,11,29,180
lake,Ela 102,42,24,27,7,5,7,28,187
lake,Ela 103,62,42,40,7,3,8,18,141
lake,Ela 79,41,26,26,10,2,2,26,141
lake,Ela 78,22,30,25,4,5,4,15,121
lake,Ela 100,32,34,32,6,5,7,18,125
lake,Ela 101,36,27,22,7,8,3,36,134
lake,Cuba 64,29,9,12,1,1,0,8,74
lake,Cuba 65,49,10,16,1,3,4,17,150
lake,Cuba 66,78,12,25,3,3,2,18,98
lake,Cuba 67,26,17,24,3,2,2,9,89
lake,Cuba 68,55,16,22,1,2,5,34,146
lake,Cuba 69,58,34,50,9,2,2,35,166
lake,Ela 95,43,45,40,11,5,5,25,125
lake,Ela 94,60,43,25,9,5,6,29,121
lake,Ela 97,52,40,33,8,4,5,24,112
lake,Ela 96,55,26,35,7,4,4,22,156
lake,Ela 91,36,26,29,2,1,4,17,97
lake,Ela 90,41,50,42,4,7,5,22,133
lake,Ela 93,43,31,41,5,5,9,24,105
lake,Ela 92,45,32,21,6,4,1,19,110
lake,Ela 99,57,37,28,3,2,5,24,203
lake,Ela 98,63,31,23,6,4,3,28,139
lake,Cuba 73,43,14,24,4,2,1,31,119
lake,Cuba 72,38,23,15,1,0,0,17,97
lake,Cuba 71,23,14,22,0,2,5,23,111
lake,Cuba 70,26,13,20,1,0,4,12,87
lake,Cuba 77,55,17,26,1,1,5,25,166
lake,Cuba 76,59,19,33,1,8,10,35,92
lake,Cuba 75,44,12,14,2,1,3,15,111
lake,Cuba 74,37,16,26,3,2,3,24,134
dupage,Winfield 8,11,7,19,1,6,6,13,69
dupage,Downers Grove 87,50,14,41,9,9,5,23,191
dupage,Downers Grove 85,19,8,33,7,4,0,11,70
dupage,Downers Grove 84,22,4,63,11,3,4,13,74
dupage,Downers Grove 83,5,2,3,0,1,1,5,34
dupage,Naperville 5,12,6,21,2,57,4,23,66
dupage,Naperville 7,23,12,19,3,46,3,19,64
dupage,York 100,37,13,31,7,7,8,16,76
dupage,York 101,28,11,29,3,2,3,13,67
dupage,Downers Grove 16,8,2,54,1,1,1,1,63
dupage,Downers Grove 17,15,4,141,0,7,2,16,92
dupage,Downers Grove 10,29,11,70,10,17,3,12,75
dupage,York 105,6,3,5,3,0,1,6,46
dupage,York 106,13,3,8,5,0,1,4,90
dupage,York 109,13,3,49,2,2,0,14,77
dupage,Downers Grove 18,24,10,77,6,27,3,18,70
dupage,Downers Grove 19,18,5,19,5,3,2,8,50
dupage,York 42,21,14,24,2,4,3,14,56
dupage,York 43,27,9,23,4,2,2,14,35
dupage,York 46,28,14,18,5,7,2,12,89
dupage,Milton 55,22,12,35,5,4,3,23,102
dupage,Milton 54,21,9,46,2,5,2,39,122
dupage,Milton 57,11,16,26,6,5,2,22,100
dupage,Milton 56,16,26,57,2,4,5,24,67
dupage,Milton 51,2,3,4,2,0,0,1,35
dupage,Milton 50,17,20,51,1,9,6,21,88
dupage,Lisle 56,28,15,36,3,7,3,12,59
dupage,Milton 52,23,8,59,6,8,4,25,106
dupage,Lisle 59,27,19,42,3,18,1,28,88
dupage,Milton 59,24,7,49,4,6,3,22,95
dupage,Milton 58,21,13,79,6,6,3,29,73
dupage,Lisle 40,28,6,85,3,10,3,15,80
dupage,Downers Grove 127,23,13,29,12,6,3,20,59
dupage,Naperville 31,27,10,24,6,29,1,23,71
dupage,Lisle 44,14,8,25,1,9,4,31,77
dupage,Lisle 25,16,1,18,4,15,2,26,70
