Precinct,Registered Voters,Kelly Mazeski,Amanda Howland,Sean Casten,Jennifer Zordani,Becky Anderson Wilkins,Ryan Huffman,Carole Cheney,
Milton 47,712,33,18,43,6,4,3,17,
Milton 48,632,23,26,17,6,6,3,15,
Milton 49,665,30,5,30,4,6,3,14,
Milton 50,703,17,20,51,1,9,6,21,
Milton 51,766,2,3,4,2,0,0,1,
Milton 52,702,23,8,59,6,8,4,25,
Milton 54,747,21,9,46,2,5,2,39,
Milton 55,795,22,12,35,5,4,3,23,
Milton 56,807,16,26,57,2,4,5,24,
Milton 57,598,11,16,26,6,5,2,22,
Milton 58,810,21,13,79,6,6,3,29,
Milton 59,742,24,7,49,4,6,3,22,
Milton 60,495,14,16,29,1,4,4,12,
Milton 61,608,13,3,15,3,2,0,9,
Milton 62,559,22,28,28,0,7,4,26,
Milton 63,727,15,10,33,3,7,3,7,
Milton 64,624,13,6,57,3,5,1,26,
Milton 65,630,21,11,24,0,3,3,24,
Milton 66,836,27,15,70,0,5,1,29,
Milton 67,530,24,8,39,1,3,3,16,
Milton 68,688,26,8,44,3,8,3,30,
Milton 69,563,26,5,62,6,7,8,32,
Milton 71,559,22,8,32,2,8,1,31,
Milton 73,624,22,23,20,9,7,7,22,
Milton 74,684,24,12,37,0,7,4,19,
Milton 75,710,20,10,37,3,5,2,27,
Milton 76,747,30,23,44,9,9,3,20,
Milton 77,609,21,5,13,4,0,1,23,
Milton 78,660,16,10,34,2,4,1,15,
Milton 79,827,16,11,25,2,4,1,17,
Milton 80,826,17,17,26,5,10,4,27,
Milton 81,683,21,9,41,6,2,4,13,
Milton 82,541,22,11,23,0,7,0,36,
Milton 83,719,32,13,29,1,9,6,32,
Milton 84,792,18,15,32,4,9,8,18,
Milton 85,657,17,13,31,5,6,2,32,
Milton 86,723,16,18,22,6,2,2,15,
Milton 87,752,22,13,24,0,3,3,21,
Milton 88,529,24,14,24,1,6,2,18,
Milton 89,772,26,9,37,3,4,4,18,
Milton 90,724,27,13,42,4,1,4,13,
Milton 91,658,20,12,22,3,4,3,28,
Milton 92,726,20,7,36,2,4,2,41,
Milton 93,708,25,6,23,5,6,3,37,
Milton 94,669,23,9,29,5,8,2,19,
Milton 95,904,27,11,31,7,6,3,26,
Milton 96,728,24,10,77,5,4,4,27,
Milton 97,627,37,11,34,2,8,5,30,
Milton 98,701,25,8,16,3,7,4,9,
Milton 99,448,27,4,20,3,3,2,17,
Milton 100,819,11,11,23,2,5,1,18,
Milton 102,559,16,6,9,1,1,1,17,
Milton 104,780,18,11,27,3,7,2,9,
Milton 105,413,19,6,30,1,6,5,21,
Milton 106,664,10,8,23,6,5,1,19,
Milton 107,672,11,8,24,2,6,1,23,
Milton 108,652,21,11,26,2,2,6,25,
Milton 109,666,18,4,24,1,5,4,22,
Milton 110,713,25,12,33,6,8,4,12,
Milton 111,619,33,10,28,2,3,3,19,
Milton 112,521,17,7,16,1,4,2,13,
Milton 113,479,10,6,54,1,4,1,29,
Milton 114,620,10,10,18,3,7,2,19,
Milton 115,570,14,9,25,2,4,2,24,
Milton 116,666,24,8,28,9,2,4,30,
Milton 119,361,6,7,8,0,0,0,3,
Milton 120,473,21,9,13,4,2,3,9,
Milton 122,548,23,15,27,1,6,2,15,
Milton 123,681,13,5,5,3,4,3,8,
Milton 124,436,11,9,17,5,6,1,8,
Milton 125,417,14,7,22,1,1,1,8,
Milton 126,524,18,5,20,1,6,3,7,
Milton 127,486,14,6,25,0,5,0,28,
Milton 128,656,15,18,27,3,2,1,27,
Milton 129,413,9,3,25,2,0,1,17,
Milton 130,465,13,3,19,1,2,0,11,
York 3,733,14,7,10,2,3,0,16,
York 9,886,39,14,48,6,11,2,25,
York 18,677,30,10,40,6,7,9,13,
York 19,476,1,0,5,0,1,0,2,
York 21,662,30,21,31,4,6,2,13,
York 26,466,22,12,52,4,6,2,9,
York 30,729,22,5,21,0,6,3,9,
York 36,720,34,15,57,4,6,0,10,
York 42,581,21,14,24,2,4,3,14,
York 43,496,27,9,23,4,2,2,14,
York 46,762,28,14,18,5,7,2,12,
York 56,1052,35,20,26,10,7,1,15,
York 62,960,26,17,30,6,3,2,9,
York 64,691,22,14,34,2,1,0,11,
York 74,863,49,23,42,4,10,2,25,
York 75,795,33,15,37,5,10,3,25,
York 77,696,30,15,29,7,0,2,17,
York 86,873,30,8,20,7,3,4,17,
York 92,460,16,5,45,3,2,2,8,
York 93,479,17,3,17,5,2,1,11,
York 95,487,21,10,20,2,3,4,27,
York 97,699,30,17,22,11,6,3,17,
York 100,743,37,13,31,7,7,8,16,
York 101,575,28,11,29,3,2,3,13,
York 105,445,6,3,5,3,0,1,6,
York 106,553,13,3,8,5,0,1,4,
York 109,561,13,3,49,2,2,0,14,
York 111,956,45,22,27,6,10,5,9,
York 114,820,30,12,78,6,10,5,21,
York 118,557,26,13,22,7,6,1,8,
York 119,664,14,5,14,3,0,3,4,
York 121,973,74,37,51,7,4,3,42,
York 122,715,8,5,12,2,0,1,4,
York 123,662,22,13,23,7,9,3,13,
York 128,697,24,11,24,14,9,3,38,
York 130,603,21,5,31,1,6,5,11,
York 131,299,10,2,6,0,2,1,5,
Naperville 5,868,12,6,21,2,57,4,23,
Naperville 7,792,23,12,19,3,46,3,19,
Naperville 10,803,5,13,28,5,42,1,32,
Naperville 15,784,34,13,22,3,15,2,23,
Naperville 16,545,6,2,11,0,9,0,23,
Naperville 19,672,15,6,31,5,30,3,31,
Naperville 22,661,15,12,19,2,22,0,19,
Naperville 26,480,9,3,26,0,29,0,16,
Naperville 31,811,27,10,24,6,29,1,23,
Naperville 61,762,17,8,19,1,17,1,40,
Naperville 84,564,9,3,13,0,24,0,22,
Naperville 95,607,10,5,25,3,32,3,30,
Naperville 96,344,3,1,11,3,14,2,12,
Lisle 1,626,16,7,36,3,24,1,9,
Lisle 3,653,14,0,35,2,21,0,33,
Lisle 4,837,16,5,42,2,45,5,24,
Lisle 6,476,8,1,37,3,13,0,11,
