County,Precinct,Leslie Coolidge,Peter J. Roskam
dupage,Milton 077,120,304
dupage,Milton 074,146,337
dupage,Milton 075,152,327
dupage,Downers Grove 066,184,260
dupage,Milton 073,285,480
dupage,Downers Grove 064,298,409
dupage,Milton 071,128,320
dupage,Downers Grove 105,309,232
dupage,Downers Grove 107,122,213
dupage,Winfield 018,145,289
dupage,Milton 078,211,192
dupage,Milton 079,208,399
dupage,Downers Grove 067,277,356
dupage,Bloomingdale 009,294,382
dupage,York 074,384,375
dupage,York 056,276,321
dupage,York 075,342,387
dupage,Downers Grove 127,202,207
dupage,Downers Grove 118,326,166
dupage,Lisle 011,236,362
dupage,Downers Grove 054,306,378
dupage,Wayne 010,205,467
dupage,Wayne 011,214,426
dupage,Wayne 012,258,275
dupage,Wayne 013,374,488
dupage,Wayne 015,358,276
dupage,Lisle 022,199,337
dupage,Wayne 017,387,580
dupage,Wayne 019,276,259
dupage,York 119,159,322
dupage,Downers Grove 003,177,248
dupage,Lisle 077,487,332
dupage,Milton 086,129,189
dupage,Milton 065,135,292
dupage,Milton 064,274,285
dupage,Milton 067,189,302
dupage,Milton 066,256,304
dupage,Milton 061,196,535
dupage,Milton 060,267,373
dupage,Milton 063,248,366
dupage,Milton 062,246,299
dupage,Milton 102,227,609
dupage,Downers Grove 109,201,347
dupage,Milton 100,244,534
dupage,Lisle 014,204,531
dupage,Milton 069,184,233
dupage,Milton 068,219,286
dupage,Milton 104,186,217
dupage,Milton 105,117,183
dupage,Lisle 052,323,441
dupage,Downers Grove 121,177,258
dupage,Downers Grove 120,209,297
dupage,Winfield 020,200,357
dupage,Winfield 021,242,403
dupage,Winfield 022,193,386
dupage,Winfield 023,203,263
dupage,Downers Grove 065,230,305
dupage,Naperville 007,233,250
dupage,Naperville 005,240,303
dupage,Downers Grove 026,266,281
dupage,York 043,132,180
dupage,York 042,178,206
dupage,Downers Grove 076,358,186
dupage,Downers Grove 102,243,445
dupage,Downers Grove 071,317,187
dupage,Milton 058,257,405
dupage,Milton 059,127,233
dupage,Lisle 068,193,408
dupage,Downers Grove 069,186,172
dupage,York 122,133,292
dupage,Lisle 059,264,331
dupage,York 121,276,334
dupage,Milton 050,244,263
dupage,Milton 051,163,428
dupage,Milton 052,179,271
dupage,Lisle 061,426,335
dupage,Milton 054,194,432
dupage,Milton 055,217,402
dupage,Milton 056,184,214
dupage,Milton 057,204,534
dupage,Downers Grove 048,166,219
dupage,Downers Grove 049,254,285
dupage,Downers Grove 020,335,334
dupage,Lisle 056,333,453
dupage,Downers Grove 021,202,326
dupage,Downers Grove 044,163,285
dupage,Lisle 055,163,210
dupage,Downers Grove 047,113,159
dupage,Winfield 037,189,197
dupage,Winfield 030,225,451
dupage,Naperville 010,237,441
dupage,Naperville 015,238,195
