Precinct,Registered Voters,Leslie Coolidge,Peter J. Roskam
Downers Grove 054,958,306,378,
Downers Grove 055,533,114,289,
Downers Grove 056,472,150,154,
Downers Grove 057,640,196,258,
Downers Grove 059,746,225,331,
Downers Grove 061,810,227,378,
Downers Grove 063,1175,453,346,
Downers Grove 064,987,298,409,
Downers Grove 065,720,230,305,
Downers Grove 066,634,184,260,
Downers Grove 067,965,277,356,
Downers Grove 069,507,186,172,
Downers Grove 070,955,283,474,
Downers Grove 071,738,317,187,
Downers Grove 073,599,198,244,
Downers Grove 074,896,258,317,
Downers Grove 075,693,243,271,
Downers Grove 076,872,358,186,
Downers Grove 078,575,172,238,
Downers Grove 079,984,257,489,
Downers Grove 082,682,161,307,
Downers Grove 083,848,164,418,
Downers Grove 084,689,168,333,
Downers Grove 085,619,139,307,
Downers Grove 087,1311,409,564,
Downers Grove 092,1130,346,439,
Downers Grove 094,959,359,329,
Downers Grove 096,586,249,167,
Downers Grove 097,671,196,291,
Downers Grove 098,689,154,329,
Downers Grove 102,994,243,445,
Downers Grove 103,585,166,214,
Downers Grove 105,862,309,232,
Downers Grove 106,637,204,272,
Downers Grove 107,485,122,213,
Downers Grove 109,762,201,347,
Downers Grove 112,713,200,255,
Downers Grove 113,1177,403,357,
Downers Grove 115,692,208,273,
Downers Grove 118,789,326,166,
Downers Grove 119,1046,249,460,
Downers Grove 120,723,209,297,
Downers Grove 121,557,177,258,
Downers Grove 127,618,202,207,
