Township,Registered Voters,Republican Votes,Dem Votes,Vote Count,% Republican,% Dem,% Turnout,Priority
ALG 24,,,,,,,,
ALG 26,,,,,,,,
ALG 27,,,,,,,,
ALG 31,,,,,,,,
ALG 35,,,,,,,,
ALG 37,,,,,,,,
ALG 47,,,,,,,,
ALG 48,,,,,,,,
ALG 55,,,,,,,,
ALG 60,,,,,,,,
