Precinct,Registered Voters,Ballots Cast,Turnout,MITT ROMNEY,BARACK OBAMA,GARY JOHNSON JAMES P. GRAY,JILL STEIN HOWIE HAWKINS,Michael W. Hawkins (MW),Paul Chehade,Steve McAllister,Barbara A. Prokopich,Cecil James Roth,Dennis Knill,Stephen Durham/Christina Lopez,Beverly Simmons-Miller,Jill Reed/Tom Cary,Joann Brewogel,Mary Ann T. Segal,"Ross C. ""Rocky"" Anderson","Nelson Lee Keyton, Jr.",Tom Hoefling,Jonathan D. Ellis,Richard Duncan,Virgil Goode/Jim Clymer,Darrell Hykes
GE0010,409,260,63.57%,123,130,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE0011,900,626,69.56%,334,264,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE0012,774,563,72.74%,283,266,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE0013,923,691,74.86%,411,256,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE0014,784,585,74.62%,349,221,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE0015,637,440,69.07%,188,237,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE0016,782,609,77.88%,366,233,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE0017,1599,1259,78.74%,814,421,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE0018,942,687,72.93%,330,342,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE0019,938,750,79.96%,527,213,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE0020,1118,862,77.10%,520,332,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE0021,1769,1377,77.84%,826,534,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA0001,1657,1209,72.96%,771,409,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA0002,1867,1362,72.95%,805,535,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA0003,1675,1151,68.72%,713,411,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KA0001,897,647,72.13%,431,204,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PL0001,1499,1091,72.78%,655,420,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PL0002,1702,1262,74.15%,752,492,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PL0003,1066,690,64.73%,430,247,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RU0001,1566,1005,64.18%,585,400,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RU0002,3138,1837,58.54%,940,860,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RU0003,683,571,83.60%,368,193,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RU0004,1723,1380,80.09%,808,546,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RU0005,1742,1071,61.48%,522,536,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RU0006,818,517,63.20%,300,208,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RU0007,1164,965,82.90%,532,409,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RU0008,362,249,68.78%,152,85,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RU0009,1044,894,85.63%,575,304,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0001,770,549,71.30%,335,204,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0002,901,704,78.14%,431,263,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0003,1176,838,71.26%,447,363,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0004,416,290,69.71%,113,165,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0005,958,707,73.80%,334,354,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0006,947,661,69.80%,336,296,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0007,1090,737,67.61%,510,216,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0008,1126,896,79.57%,518,358,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0009,717,524,73.08%,267,244,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0010,802,593,73.94%,288,280,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0011,1016,620,61.02%,301,293,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0012,997,677,67.90%,389,273,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0013,396,249,62.88%,120,125,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0014,338,254,75.15%,110,137,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0015,821,567,69.06%,288,259,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0016,1161,864,74.42%,557,290,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0017,758,465,61.35%,219,228,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0018,1002,690,68.86%,360,314,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0019,639,406,63.54%,184,213,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0020,803,496,61.77%,204,278,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0021,1573,1155,73.43%,616,519,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0022,969,764,78.84%,482,271,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0023,520,310,59.62%,145,155,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0024,1819,1354,74.44%,898,438,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0025,1020,699,68.53%,308,382,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0026,1217,893,73.38%,593,290,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0027,1242,900,72.46%,584,305,6,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SC0028,997,740,74.22%,441,286,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0029,1264,856,67.72%,426,407,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0030,1038,755,72.74%,495,251,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0031,1240,921,74.27%,642,267,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0032,821,592,72.11%,455,133,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0033,867,639,73.70%,427,206,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0034,1086,781,71.92%,409,355,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SG0001,761,501,65.83%,278,205,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SG0002,2589,1731,66.86%,878,815,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SG0003,962,741,77.03%,488,240,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SG0004,1259,985,78.24%,649,323,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SG0005,2199,1618,73.58%,861,723,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SG0006,2107,1634,77.55%,"1,082",521,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VI0001,494,322,65.18%,172,136,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VI0002,798,555,69.55%,363,179,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
