County,Precinct,Leslie Coolidge,Geoffrey Petzel,Maureen E. Yates,Peter J. Roskam
dupage,Downers Grove 98,18,0,9,155
dupage,Milton 39,18,7,12,220
dupage,Milton 38,27,7,21,133
dupage,Milton 37,11,1,6,152
dupage,Milton 36,13,4,12,109
dupage,Milton 35,13,3,4,112
dupage,Milton 34,24,7,15,108
dupage,Milton 33,12,4,3,114
dupage,Milton 32,37,9,28,223
dupage,Milton 31,12,4,7,151
dupage,Milton 30,19,4,12,135
dupage,Wayne 1,15,5,6,227
dupage,Wayne 3,16,9,14,215
dupage,Wayne 2,3,3,1,90
dupage,Wayne 5,23,7,20,167
dupage,Wayne 4,22,9,22,147
dupage,Wayne 7,19,15,26,185
dupage,Wayne 6,35,10,27,187
dupage,Wayne 9,17,3,13,242
dupage,Wayne 8,20,7,11,222
dupage,Downers Grove 61,19,4,13,195
dupage,Downers Grove 63,24,4,21,141
dupage,Downers Grove 3,17,2,8,122
dupage,Downers Grove 65,13,6,8,136
dupage,Downers Grove 64,28,6,21,199
dupage,Downers Grove 67,27,3,13,142
dupage,Downers Grove 66,5,2,11,96
dupage,Downers Grove 69,7,3,15,87
dupage,Downers Grove 47,3,3,8,86
dupage,Milton 82,17,0,4,129
dupage,Milton 83,31,1,9,163
dupage,Milton 80,18,7,7,81
dupage,Milton 81,14,0,3,162
dupage,Wayne 19,14,5,17,102
dupage,Milton 87,14,7,7,200
dupage,Milton 84,22,3,9,165
dupage,Milton 85,16,1,10,79
dupage,Wayne 15,20,8,20,131
dupage,Wayne 17,30,7,23,237
dupage,Milton 89,23,5,11,118
dupage,Wayne 11,15,7,17,174
dupage,Wayne 10,8,6,13,188
dupage,Wayne 13,27,4,24,157
dupage,Wayne 12,11,7,15,100
dupage,Milton 20,19,0,8,156
dupage,Milton 21,21,4,8,78
dupage,Milton 22,15,1,5,88
dupage,Milton 23,6,2,8,174
dupage,Milton 24,19,1,9,80
dupage,Milton 25,14,1,6,243
dupage,Milton 26,28,9,25,116
dupage,Milton 27,20,4,13,153
dupage,Milton 28,14,0,5,172
dupage,Milton 29,17,8,7,77
dupage,Downers Grove 85,11,3,9,165
dupage,Downers Grove 84,7,4,12,140
dupage,Downers Grove 83,1,1,4,189
dupage,Naperville 5,19,3,13,118
dupage,Naperville 7,15,4,7,112
dupage,York 75,15,8,16,168
dupage,Downers Grove 37,20,6,31,258
dupage,Downers Grove 92,35,1,16,221
dupage,Lisle 31,14,3,6,146
dupage,Naperville 10,19,3,14,217
dupage,Downers Grove 10,13,5,13,101
dupage,York 77,15,3,5,121
dupage,Downers Grove 7,12,0,6,202
dupage,York 100,26,2,10,97
dupage,York 101,17,3,11,88
dupage,Downers Grove 16,20,0,5,114
dupage,Downers Grove 17,21,6,13,151
dupage,Downers Grove 6,12,5,10,150
dupage,York 105,4,0,3,162
dupage,York 106,1,2,3,153
dupage,York 109,24,5,11,238
dupage,Downers Grove 8,24,10,15,174
dupage,Downers Grove 9,24,3,19,103
dupage,Downers Grove 18,22,8,15,159
dupage,Naperville 22,15,4,9,161
dupage,Downers Grove 113,21,8,14,132
dupage,Lisle 32,7,2,6,67
dupage,York 42,18,2,10,77
dupage,York 43,20,3,10,82
dupage,Downers Grove 109,20,0,16,184
dupage,Lisle 37,9,5,2,144
dupage,Naperville 26,27,2,10,167
dupage,Lisle 91,18,8,13,140
dupage,Lisle 38,13,1,6,82
dupage,Downers Grove 106,6,0,5,107
dupage,Downers Grove 107,3,1,3,93
dupage,Downers Grove 103,6,2,4,82
dupage,Downers Grove 102,9,2,9,185
dupage,Milton 55,20,3,5,181
dupage,Milton 54,21,1,3,212
dupage,Milton 57,15,5,9,250
dupage,Milton 56,15,2,12,103
dupage,Milton 51,13,4,1,185
dupage,Milton 50,19,6,11,108
dupage,Lisle 56,29,8,14,209
dupage,Milton 52,16,4,12,137
dupage,Lisle 59,13,8,10,168
dupage,Wayne 42,26,12,12,122
dupage,Milton 58,16,6,13,188
dupage,Wayne 40,20,6,11,134
dupage,Downers Grove 19,10,4,6,70
dupage,Milton 9,10,2,8,111
dupage,Milton 8,29,3,11,200
dupage,Lisle 40,13,2,4,103
dupage,Downers Grove 11,18,6,21,228
