Precinct,Registered Voters,Barack Obama,Mitt Romney,Gary Johnson,Jill Stein
Bloomingdale  013,646,151,295,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bloomingdale  014,785,300,140,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bloomingdale  015,1065,381,255,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
Bloomingdale  016,567,189,151,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bloomingdale  017,650,166,300,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bloomingdale  018,897,337,274,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bloomingdale  019,864,262,333,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bloomingdale  020,874,277,349,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bloomingdale  021,603,194,197,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bloomingdale  022,971,393,197,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bloomingdale  023,896,333,182,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bloomingdale  024,885,334,288,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bloomingdale  025,502,194,127,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bloomingdale  026,944,379,265,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bloomingdale  027,557,212,121,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bloomingdale  028,1056,435,167,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bloomingdale  029,540,132,252,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bloomingdale  030,684,255,221,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bloomingdale  031,1206,348,376,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bloomingdale  032,659,150,319,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bloomingdale  033,791,267,265,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bloomingdale  034,1006,321,351,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bloomingdale  035,1028,431,152,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bloomingdale  036,694,270,229,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bloomingdale  037,648,250,150,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bloomingdale  038,860,350,219,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bloomingdale  039,1332,517,342,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bloomingdale  040,943,372,205,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bloomingdale  041,677,252,187,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,
Bloomingdale  042,964,379,231,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bloomingdale  043,584,204,175,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bloomingdale  044,268,88,82,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bloomingdale  045,509,105,293,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bloomingdale  046,929,303,345,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bloomingdale  047,1065,409,249,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bloomingdale  048,630,255,122,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bloomingdale  049,1020,350,368,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bloomingdale  050,714,277,145,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bloomingdale  051,428,140,121,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bloomingdale  052,1082,413,219,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bloomingdale  053,1441,584,377,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bloomingdale  054,1043,403,291,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bloomingdale  055,1394,484,438,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bloomingdale  056,1059,308,432,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bloomingdale  057,1009,407,124,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bloomingdale  058,1248,456,389,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bloomingdale  059,1520,568,454,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
