County,Precinct,Amanda Howland,Amanda Howland Percent,Peter J. Roskam,Peter J. Roskam Percent,Total
DuPage,Downers Grove 069,193,50.66,188,49.34,381
DuPage,Downers Grove 070,284,36.36,497,63.64,781
DuPage,Downers Grove 071,302,58.98,210,41.02,512
DuPage,Downers Grove 073,152,41.64,213,58.36,365
DuPage,Downers Grove 074,261,41.04,375,58.96,636
DuPage,Downers Grove 075,231,41.92,320,58.08,551
DuPage,Downers Grove 076,343,61.47,215,38.53,558
DuPage,Downers Grove 078,169,40.24,251,59.76,420
DuPage,Downers Grove 079,281,35.89,502,64.11,783
DuPage,Downers Grove 082,221,35.65,399,64.35,620
DuPage,Downers Grove 083,201,31.36,440,68.64,641
DuPage,Downers Grove 084,197,35.88,352,64.12,549
DuPage,Downers Grove 085,142,32.64,293,67.36,435
DuPage,Downers Grove 087,249,34.16,480,65.84,729
DuPage,Downers Grove 092,183,41.97,253,58.03,436
DuPage,Downers Grove 094,275,46.06,322,53.94,597
DuPage,Downers Grove 096,265,54.75,219,45.25,484
DuPage,Downers Grove 097,174,35.15,321,64.85,495
DuPage,Downers Grove 098,158,30.38,362,69.62,520
DuPage,Downers Grove 102,140,33.10,283,66.90,423
DuPage,Downers Grove 103,193,42.51,261,57.49,454
DuPage,Downers Grove 105,317,54.47,265,45.53,582
DuPage,Downers Grove 106,178,36.33,312,63.67,490
DuPage,Downers Grove 107,146,41.01,210,58.99,356
DuPage,Downers Grove 109,204,32.74,419,67.26,623
DuPage,Downers Grove 112,224,43.16,295,56.84,519
DuPage,Downers Grove 113,199,67.00,98,33.00,297
DuPage,Downers Grove 115,205,39.96,308,60.04,513
DuPage,Downers Grove 118,326,63.06,191,36.94,517
DuPage,Downers Grove 119,148,36.45,258,63.55,406
DuPage,Downers Grove 120,289,41.94,400,58.06,689
DuPage,Downers Grove 121,168,40.48,247,59.52,415
DuPage,Downers Grove 127,213,48.30,228,51.70,441
DuPage,Downers Grove 129,257,48.13,277,51.87,534
DuPage,Downers Grove 130,243,60.00,162,40.00,405
DuPage,Downers Grove 131,209,40.98,301,59.02,510
DuPage,Downers Grove 132,124,35.03,230,64.97,354
DuPage,Downers Grove 140,167,41.75,233,58.25,400
DuPage,Downers Grove 141,113,37.42,189,62.58,302
