County,Precinct,Amanda Howland,Amanda Howland Percent,Peter J. Roskam,Peter J. Roskam Percent,Total
Lake,Ela 98,253,39.29,391,60.71,644
Lake,Ela 99,352,32.71,724,67.29,"1,076"
McHenry,ALG 1,186,47.33,207,52.67,393
McHenry,ALG 2,257,48.04,278,51.96,535
McHenry,ALG 3,212,46.59,243,53.41,455
McHenry,ALG 4,318,50.00,318,50.00,636
McHenry,ALG 5,329,40.82,477,59.18,806
McHenry,ALG 6,216,41.62,303,58.38,519
McHenry,ALG 7,108,32.43,225,67.57,333
McHenry,ALG 8,251,41.83,349,58.17,600
McHenry,ALG 9,222,40.51,326,59.49,548
McHenry,ALG 10,314,51.22,299,48.78,613
McHenry,ALG 11,313,45.23,379,54.77,692
McHenry,ALG 12,272,43.17,358,56.83,630
McHenry,ALG 13,237,45.32,286,54.68,523
McHenry,ALG 14,225,37.13,381,62.87,606
McHenry,ALG 15,207,44.90,254,55.10,461
McHenry,ALG 16,190,29.78,448,70.22,638
McHenry,ALG 17,254,31.17,561,68.83,815
McHenry,ALG 18,165,37.50,275,62.50,440
McHenry,ALG 19,198,46.26,230,53.74,428
McHenry,ALG 20,129,46.07,151,53.93,280
McHenry,ALG 21,250,42.44,339,57.56,589
McHenry,ALG 22,181,47.76,198,52.24,379
McHenry,ALG 23,260,37.20,439,62.80,699
McHenry,ALG 24,320,49.46,327,50.54,647
McHenry,ALG 25,181,47.38,201,52.62,382
McHenry,ALG 26,206,48.24,221,51.76,427
McHenry,ALG 27,207,45.39,249,54.61,456
McHenry,ALG 28,241,38.62,383,61.38,624
McHenry,ALG 29,169,45.55,202,54.45,371
McHenry,ALG 30,278,38.08,452,61.92,730
McHenry,ALG 31,314,40.36,464,59.64,778
McHenry,ALG 32,199,41.12,285,58.88,484
McHenry,ALG 33,273,37.66,452,62.34,725
McHenry,ALG 34,257,51.92,238,48.08,495
McHenry,ALG 35,310,41.95,429,58.05,739
McHenry,ALG 36,205,37.61,340,62.39,545
McHenry,ALG 37,109,55.33,88,44.67,197
McHenry,ALG 38,246,43.31,322,56.69,568
McHenry,ALG 39,265,47.24,296,52.76,561
McHenry,ALG 40,237,50.97,228,49.03,465
McHenry,ALG 41,365,43.98,465,56.02,830
McHenry,ALG 42,341,40.99,491,59.01,832
McHenry,ALG 43,302,38.77,477,61.23,779
McHenry,ALG 44,227,44.42,284,55.58,511
McHenry,ALG 45,264,39.17,410,60.83,674
McHenry,ALG 46,292,40.11,436,59.89,728
McHenry,ALG 47,362,42.00,500,58.00,862
McHenry,ALG 48,290,36.80,498,63.20,788
McHenry,ALG 49,163,30.19,377,69.81,540
McHenry,ALG 50,204,32.43,425,67.57,629
McHenry,ALG 51,357,42.91,475,57.09,832
McHenry,ALG 52,336,45.78,398,54.22,734
McHenry,ALG 53,247,52.22,226,47.78,473
McHenry,ALG 54,265,40.03,397,59.97,662
McHenry,ALG 55,305,39.20,473,60.80,778
McHenry,ALG 56,208,48.37,222,51.63,430
McHenry,ALG 57,423,47.80,462,52.20,885
McHenry,ALG 58,280,37.99,457,62.01,737
McHenry,ALG 59,427,50.24,423,49.76,850
McHenry,ALG 60,125,39.18,194,60.82,319
McHenry,ALG 61,184,44.44,230,55.56,414
McHenry,ALG 62,280,38.25,452,61.75,732
McHenry,ALG 63,386,44.94,473,55.06,859
McHenry,ALG 64,180,38.88,283,61.12,463
McHenry,ALG 65,278,30.65,629,69.35,907
McHenry,ALG 66,201,40.28,298,59.72,499
McHenry,ALG 67,218,32.88,445,67.12,663
McHenry,ALG 68,335,36.69,578,63.31,913
TOTAL:,,"143,591",40.78,"208,555",59.22,"352,146"
