PrecinctName,HILLARY CLINTON,BERNIE SANDERS,WILLIE L_ WILSON,MARTIN J_ O'MALLEY,LARRY COHEN,ROQUE ROCKY DE LA FUENTE,DAVID FORMHALS,BRIAN O'NEILL w-in,DONALD J_ TRUMP,TED CRUZ,JOHN R_ KASICH,MARCO RUBIO,BEN CARSON,JEB BUSH,RAND PAUL,CHRIS CHRISTIE,MIKE HUCKABEE,CARLY FIORINA,RICK SANTORUM,JOANN BREIVOGEL,Total
Vernon 267,178,124,0,0,0,0,0,0,57,36,53,26,0,1,0,0,0,0,0,0,475
Vernon 264,141,99,0,0,0,0,0,0,73,56,123,32,1,1,0,0,0,1,0,0,527
Vernon 265,80,46,0,1,0,1,0,0,54,39,62,31,1,1,1,0,0,0,0,0,317
Vernon 262,144,87,0,0,0,0,0,0,50,40,56,15,0,0,0,0,0,1,0,0,393
Vernon 263,156,86,1,1,0,0,0,0,88,44,69,18,0,2,0,1,1,1,0,0,468
Vernon 260,92,53,0,0,0,0,0,0,58,40,90,30,0,0,1,0,0,0,0,0,364
Vernon 261,176,102,1,0,0,0,0,0,61,49,95,34,0,5,2,0,0,0,0,0,525
Vernon 268,301,108,0,0,1,0,0,0,73,65,115,32,0,2,1,3,0,0,0,0,701
Vernon 269,154,95,0,1,0,0,0,0,85,98,171,38,0,0,4,0,0,0,0,0,646
7900010,136,135,0,0,2,0,0,0,46,32,36,15,3,0,0,1,0,0,0,0,406
7900011,111,99,0,2,0,0,0,0,35,36,55,15,0,3,1,0,0,0,0,0,357
7900012,61,44,0,2,0,0,0,0,77,32,61,25,2,6,2,0,0,0,0,0,312
7900013,102,69,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,175
7900014,159,137,0,1,0,0,0,0,49,50,158,25,0,1,0,0,0,0,0,0,580
7900015,150,145,0,1,0,0,0,0,56,40,106,32,0,4,0,0,0,0,0,0,534
7900016,249,243,0,1,0,0,0,0,62,63,107,28,0,4,0,2,0,0,0,0,759
7900017,67,54,0,1,0,0,0,0,81,28,48,12,0,1,2,0,0,0,0,0,294
7900018,115,108,1,0,0,0,0,0,43,35,48,25,1,1,1,0,0,1,0,0,379
7900019,156,186,0,0,0,0,0,0,71,28,5,6,0,1,0,0,0,0,1,0,454
Addison 18,64,57,1,0,1,1,0,0,104,29,35,13,0,1,0,0,0,0,1,0,307
Addison 17,68,55,0,0,0,0,0,0,56,36,34,14,0,0,0,0,0,0,0,0,263
Addison 16,98,85,1,0,0,0,0,0,62,50,33,19,0,0,0,1,0,0,0,0,349
Addison 15,71,89,0,0,0,0,0,0,79,25,32,11,0,3,0,1,0,1,1,0,313
Wayne 24,64,48,0,0,0,0,0,0,29,32,21,10,0,1,0,0,0,0,0,0,205
Wayne 25,55,84,0,1,0,0,0,0,61,48,27,11,1,0,0,0,0,0,0,0,288
Wayne 26,58,54,0,0,0,0,0,0,44,45,51,14,1,0,1,0,0,0,0,0,268
Wayne 27,60,66,0,0,0,0,0,0,37,32,10,6,1,0,0,0,0,0,0,0,212
Wayne 20,65,68,0,0,0,0,0,0,62,30,32,18,3,1,1,0,0,0,0,0,280
Wayne 21,54,87,0,0,0,0,0,0,59,47,43,17,0,0,1,1,0,0,0,0,309
Wayne 22,63,52,1,0,0,0,0,0,109,51,33,13,0,0,0,1,0,0,0,0,323
Wayne 23,75,80,0,0,0,0,0,0,56,51,58,22,0,1,0,0,0,0,0,0,343
Addison 13,65,60,0,0,1,0,0,0,104,41,37,4,1,0,0,0,0,0,0,0,313
Wayne 28,54,48,0,0,0,0,0,0,43,28,20,6,0,0,0,0,0,0,0,0,199
Wayne 29,83,68,0,0,0,0,0,0,48,34,17,13,2,0,0,0,0,0,1,0,266
Addison 12,105,121,0,0,0,2,0,0,74,27,27,15,1,1,0,0,0,0,0,0,373
Avon 19,78,78,1,1,0,0,0,0,40,28,6,8,0,1,0,0,0,0,0,0,241
Addison 11,85,79,0,0,0,0,0,0,65,39,7,8,0,0,0,0,0,0,0,0,283
Addison 10,129,136,2,0,0,1,0,0,70,31,8,13,0,0,0,0,0,0,0,0,390
Naperville 58,62,62,0,0,0,0,0,0,27,23,23,11,0,0,1,0,0,0,1,0,210
Naperville 59,136,164,0,1,0,0,0,0,53,48,39,18,2,0,2,0,0,0,1,0,464
