County,Precinct,Michael Mason,Peter J. Roskam
dupage,Milton 41,21,21
dupage,Downers Grove 48,9,11
dupage,Milton 48,18,19
dupage,Milton 49,7,7
dupage,York 97,18,17
dupage,Downers Grove 105,11,11
dupage,York 95,23,22
dupage,York 93,15,16
dupage,Downers Grove 115,16,16
dupage,Downers Grove 121,15,15
dupage,Naperville 61,8,8
dupage,Downers Grove 39,18,21
dupage,Lisle 8,21,21
dupage,Lisle 9,9,9
dupage,York 122,5,5
dupage,York 121,46,44
dupage,Downers Grove 32,16,17
dupage,Lisle 3,14,15
dupage,Downers Grove 30,16,16
dupage,Lisle 1,7,8
dupage,Lisle 6,11,10
dupage,Bloomingdale 58,25,25
dupage,York 128,42,39
dupage,Downers Grove 120,21,21
dupage,York 62,23,24
dupage,York 64,3,3
dupage,Naperville 16,10,9
dupage,Wayne 25,28,28
dupage,Wayne 26,7,7
dupage,Wayne 20,9,9
dupage,Wayne 21,35,36
dupage,Wayne 22,6,9
dupage,Wayne 23,18,17
dupage,Downers Grove 21,17,16
dupage,Lisle 80,10,10
dupage,Wayne 28,17,20
dupage,Lisle 52,11,12
dupage,Lisle 78,29,27
dupage,Downers Grove 20,19,18
dupage,Downers Grove 59,8,8
dupage,York 86,25,26
dupage,Lisle 61,18,20
dupage,Downers Grove 36,19,18
dupage,Downers Grove 54,28,29
dupage,Lisle 77,25,26
dupage,York 130,4,4
dupage,Downers Grove 52,8,8
dupage,Downers Grove 53,20,21
dupage,Bloomingdale 9,18,19
dupage,Downers Grove 55,5,5
dupage,Downers Grove 56,11,9
dupage,Lisle 55,9,10
dupage,Bloomingdale 43,15,16
dupage,Downers Grove 29,6,5
dupage,Downers Grove 28,8,9
dupage,Bloomingdale 45,11,11
dupage,Downers Grove 2,8,10
dupage,Downers Grove 27,10,9
dupage,Downers Grove 26,13,14
dupage,Winfield 23,16,17
dupage,Winfield 22,23,25
dupage,Winfield 21,51,53
dupage,Winfield 20,11,13
dupage,Downers Grove 34,16,16
dupage,Downers Grove 119,4,3
dupage,Milton 88,34,35
dupage,Downers Grove 87,24,25
dupage,Milton 86,9,9
dupage,Downers Grove 12,17,17
dupage,York 56,24,24
dupage,Wayne 37,9,9
dupage,Wayne 36,12,14
dupage,Wayne 35,7,7
dupage,Wayne 33,6,6
dupage,Wayne 32,9,11
dupage,Wayne 30,11,11
dupage,Milton 59,9,8
dupage,Naperville 15,35,37
dupage,Downers Grove 38,15,17
dupage,Wayne 39,8,8
dupage,Winfield 4,24,24
dupage,Winfield 5,6,6
dupage,Winfield 6,8,9
dupage,Winfield 7,9,9
dupage,Winfield 1,13,15
dupage,Winfield 2,14,14
dupage,Downers Grove 112,11,12
dupage,Winfield 8,8,8
dupage,Winfield 9,20,20
dupage,Downers Grove 45,10,13
dupage,Downers Grove 44,4,4
dupage,Naperville 19,13,12
dupage,Lisle 7,6,6
dupage,Winfield 37,6,7
dupage,Winfield 30,15,15
dupage,Downers Grove 15,17,19
dupage,Milton 79,14,18
dupage,Milton 78,6,6
dupage,Downers Grove 33,24,25
dupage,Milton 73,27,28
dupage,Milton 71,13,13
dupage,Milton 77,7,8
dupage,Milton 76,22,23
dupage,Milton 75,6,7
dupage,Milton 74,5,5
dupage,Milton 19,10,9
dupage,Milton 18,10,10
dupage,Downers Grove 31,16,16
dupage,Downers Grove 78,6,6
dupage,Milton 11,19,19
dupage,Milton 10,28,26
dupage,Milton 13,15,14
dupage,Milton 12,20,19
dupage,Milton 15,16,17
dupage,Milton 14,20,21
dupage,Milton 17,18,21
dupage,Milton 16,7,7
dupage,Lisle 95,8,7
dupage,Lisle 4,17,17
dupage,Lisle 92,3,3
dupage,Downers Grove 79,15,14
dupage,Downers Grove 76,17,17
dupage,Downers Grove 74,26,27
dupage,Downers Grove 75,17,19
dupage,Downers Grove 73,9,10
dupage,Downers Grove 70,24,23
dupage,Downers Grove 71,16,17
dupage,York 26,37,39
dupage,York 9,15,16
dupage,Downers Grove 14,27,29
dupage,York 3,2,2
dupage,Lisle 68,13,16
dupage,Milton 68,10,10
dupage,Milton 69,30,30
dupage,York 30,6,5
dupage,Milton 64,21,23
dupage,Milton 65,7,8
dupage,Milton 66,41,41
dupage,Milton 67,21,19
dupage,Milton 60,19,20
dupage,Milton 61,7,8
dupage,Milton 62,38,38
dupage,Milton 63,9,9
dupage,Downers Grove 129,16,16
dupage,York 21,11,11
dupage,Downers Grove 132,6,7
dupage,Downers Grove 50,23,24
dupage,Downers Grove 82,9,10
dupage,Lisle 14,11,11
dupage,Lisle 83,22,22
dupage,Lisle 81,4,4
dupage,Milton 98,8,7
dupage,Lisle 43,10,11
dupage,Lisle 89,18,18
dupage,Lisle 88,16,17
dupage,Downers Grove 96,22,23
dupage,Winfield 17,14,15
dupage,Winfield 14,24,24
dupage,Winfield 15,10,10
dupage,Winfield 12,21,22
dupage,Winfield 13,6,8
dupage,Downers Grove 49,19,18
dupage,Winfield 18,21,21
dupage,Winfield 19,9,10
dupage,Milton 91,11,11
dupage,Milton 90,24,23
dupage,Milton 93,9,9
dupage,Milton 92,5,5
dupage,Milton 95,14,14
dupage,Milton 94,14,14
dupage,Milton 97,34,34
dupage,Milton 96,22,22
dupage,Milton 99,15,15
dupage,Bloomingdale 18,34,36
dupage,Lisle 16,13,13
dupage,Lisle 11,18,18
mchenry,Algonquin 46,16,163
mchenry,Algonquin 47,16,130
mchenry,Algonquin 44,13,70
mchenry,Algonquin 45,5,130
mchenry,Algonquin 42,19,98
mchenry,Algonquin 43,14,88
mchenry,Algonquin 40,10,49
mchenry,Algonquin 41,16,114
mchenry,Algonquin 60,5,55
mchenry,Algonquin 61,3,57
mchenry,Algonquin 62,13,124
mchenry,Algonquin 63,21,100
mchenry,Algonquin 64,3,51
mchenry,Algonquin 65,2,150
mchenry,Algonquin 48,13,137
mchenry,Algonquin 49,4,78
mchenry,Algonquin 24,9,81
mchenry,Algonquin 25,11,60
mchenry,Algonquin 26,6,66
mchenry,Algonquin 27,8,76
mchenry,Algonquin 20,1,48
mchenry,Algonquin 21,10,75
mchenry,Algonquin 22,5,51
mchenry,Algonquin 23,11,163
mchenry,Algonquin 55,11,110
mchenry,Algonquin 28,11,99
mchenry,Algonquin 29,12,69
mchenry,Algonquin 54,13,98
mchenry,Algonquin 68,11,137
mchenry,Algonquin 1,7,55
mchenry,Algonquin 59,12,68
mchenry,Algonquin 3,8,72
mchenry,Algonquin 2,13,113
mchenry,Algonquin 5,9,106
mchenry,Algonquin 4,13,90
mchenry,Algonquin 7,8,86
mchenry,Algonquin 6,10,90
mchenry,Algonquin 9,9,94
mchenry,Algonquin 8,7,80
mchenry,Algonquin 51,20,148
mchenry,Algonquin 50,6,122
mchenry,Algonquin 53,6,39
mchenry,Algonquin 52,10,64
mchenry,Algonquin 19,8,81
mchenry,Algonquin 18,5,72
mchenry,Algonquin 57,7,77
mchenry,Algonquin 56,10,59
mchenry,Algonquin 15,7,62
mchenry,Algonquin 14,11,86
mchenry,Algonquin 17,4,161
mchenry,Algonquin 16,9,134
mchenry,Algonquin 11,18,73
mchenry,Algonquin 10,13,107
mchenry,Algonquin 13,7,83
mchenry,Algonquin 12,11,90
mchenry,Algonquin 37,2,16
mchenry,Algonquin 36,7,134
mchenry,Algonquin 35,18,83
mchenry,Algonquin 34,8,67
mchenry,Algonquin 33,17,122
mchenry,Algonquin 32,14,75
mchenry,Algonquin 31,10,90
mchenry,Algonquin 30,19,138
mchenry,Algonquin 67,7,93
mchenry,Algonquin 39,13,49
mchenry,Algonquin 38,10,88
mchenry,Algonquin 58,8,110
mchenry,Algonquin 66,10,57
